순번,업종명,업소명,도로명주소,지번주소,행정동명,전화번호
1,일반음식점,서광식당,"대전광역시 서구 신갈마로127번길 163, 1층 101호 (갈마동)",대전광역시 서구 갈마동 427-84 ,갈마1동,
2,일반음식점,서해해물손칼국수,"대전광역시 서구 계룡로662번길 14 (용문동,1층)",대전광역시 서구 용문동 256-25 1층 ,용문동, 042- 532-7327
3,일반음식점,원앙식당,대전광역시 서구 벌곡로1384번길 80 (가수원동),대전광역시 서구 가수원동 175-4 ,가수원동, 042- 534-5880
4,일반음식점,동양돌구이,대전광역시 서구 계룡로 658-22 (용문동),대전광역시 서구 용문동 258-19 ,용문동,
5,일반음식점,충무할매낙지볶음,"대전광역시 서구 도산로 340, 1층 (용문동)",대전광역시 서구 용문동 277-4 1층 ,용문동, 042- 531-9348
6,일반음식점,멕시카나치킨,"대전광역시 서구 계룡로 663-17, 1층 (용문동)",대전광역시 서구 용문동 244-58 ,용문동, 042- 526-1389
7,일반음식점,정림가든,대전광역시 서구 혜천로 20 (정림동),대전광역시 서구 정림동 8-4 ,정림동, 042- 583-8600
8,일반음식점,우남성,"대전광역시 서구 정림서로 134-3 (정림동,1층)",대전광역시 서구 정림동 688 1층 ,도마2동, 042- 586-6800
9,일반음식점,사마브루잉,대전광역시 서구 사마1길 14 (도마동),대전광역시 서구 도마동 101-3 ,도마1동,
10,일반음식점,본가신촌설렁탕 서구점,대전광역시 서구 도솔로296번길 40-1 (괴정동),대전광역시 서구 괴정동 91-29 ,괴정동,
11,일반음식점,대성콩국수,"대전광역시 서구 도산로 141, 1,2층 (도마동)",대전광역시 서구 도마동 67-36 ,도마1동,042 -533 -4586
12,일반음식점,광성루,대전광역시 서구 도산로 84 (도마동),대전광역시 서구 도마동 129-36 ,도마1동,
13,일반음식점,섬마을홍어아가씨,대전광역시 서구 계룡로264번길 38-6 (월평동),대전광역시 서구 월평동 16-4 ,월평1동,
14,일반음식점,돈수원갈비,대전광역시 서구 도산로 103 (도마동),대전광역시 서구 도마동 100-15 ,도마2동,042 -525 -9209
15,일반음식점,곽대감연산순대,대전광역시 서구 도마6길 1 (도마동),대전광역시 서구 도마동 90-33 ,도마1동,
16,일반음식점,한마음면옥식당,대전광역시 서구 사마1길 22 (도마동),대전광역시 서구 도마동 101-6 ,도마1동, 042- 536-0408
17,일반음식점,육육대장정육식당,대전광역시 서구 도산로393번길 6 (탄방동),대전광역시 서구 탄방동 78-6 ,탄방동,042 -524 -8266
18,일반음식점,북경대반점,"대전광역시 서구 도산로 147-2, 1층 (도마동)",대전광역시 서구 도마동 67-1 ,도마1동,042 -522 -4009
19,일반음식점,천강돌솥쌈밥,대전광역시 서구 계룡로 658-1 (용문동),대전광역시 서구 용문동 256-34 ,용문동, 042- 532-2311
20,일반음식점,풍년식당,대전광역시 서구 도마2길 19 (도마동),대전광역시 서구 도마동 143-7 ,도마1동, 042- 522-5319
21,일반음식점,경남성,"대전광역시 서구 배재로 155-26 (도마동,경남상가 2층 211호)",대전광역시 서구 도마동 193 경남상가 2층 211호 ,도마1동,
22,일반음식점,소소(소소팜),대전광역시 서구 괴정로 163 (용문동),대전광역시 서구 용문동 277-24 ,용문동, 042- 525-4131
23,일반음식점,금평식당,대전광역시 서구 장안로 53 (흑석동),대전광역시 서구 흑석동 283-6 ,기성동, 042- 583-6866
24,일반음식점,탕의전설본가설렁탕,대전광역시 서구 벌곡로 1384 (가수원동),대전광역시 서구 가수원동 211-1 ,가수원동, 042- 542-1500
25,일반음식점,오아시스,대전광역시 서구 도마로7번길 4 (도마동),대전광역시 서구 도마동 26-8 ,도마1동, 042- 523-7230
